match,team1,book1,team1_odd,team2,book2,team2_odd,profit_%
Crystal Palace vs Nottingham Forest,Crystal Palace,Betfair,2.26,Nottingham Forest,Pinnacle,3.39,26.25
Crystal Palace vs Nottingham Forest,Crystal Palace,Betfair,2.26,Nottingham Forest,1xBet,3.44,26.68
Crystal Palace vs Nottingham Forest,Crystal Palace,Betfair,2.26,Nottingham Forest,Winamax (FR),3.3,25.45
Crystal Palace vs Nottingham Forest,Crystal Palace,Betfair,2.26,Nottingham Forest,Winamax (DE),3.35,25.9
Crystal Palace vs Nottingham Forest,Crystal Palace,Betfair,2.26,Nottingham Forest,MyBookie.ag,3.28,25.26
Crystal Palace vs Nottingham Forest,Crystal Palace,Betfair,2.26,Nottingham Forest,Tipico,3.3,25.45
Crystal Palace vs Nottingham Forest,Crystal Palace,Betfair,2.26,Nottingham Forest,Marathon Bet,3.38,26.17
Crystal Palace vs Nottingham Forest,Crystal Palace,Betfair,2.26,Nottingham Forest,Unibet,3.45,26.77
Crystal Palace vs Nottingham Forest,Crystal Palace,Betfair,2.26,Nottingham Forest,Nordic Bet,3.25,24.98
Crystal Palace vs Nottingham Forest,Crystal Palace,Betfair,2.26,Nottingham Forest,Betsson,3.35,25.9
Crystal Palace vs Nottingham Forest,Crystal Palace,Betfair,2.26,Nottingham Forest,888sport,3.4,26.34
Crystal Palace vs Nottingham Forest,Crystal Palace,Betfair,2.26,Nottingham Forest,William Hill,3.3,25.45
Crystal Palace vs Nottingham Forest,Crystal Palace,Betfair,2.26,Nottingham Forest,Everygame,3.35,25.9
Crystal Palace vs Nottingham Forest,Crystal Palace,Betfair,2.26,Nottingham Forest,Coolbet,3.57,27.74
Crystal Palace vs Nottingham Forest,Crystal Palace,Betfair,2.26,Nottingham Forest,Parions Sport (FR),3.3,25.45
Crystal Palace vs Nottingham Forest,Crystal Palace,Betfair,2.26,Nottingham Forest,Matchbook,3.5,27.18
Crystal Palace vs Nottingham Forest,Crystal Palace,Betfair,2.26,Nottingham Forest,GTbets,3.38,26.17
Crystal Palace vs Nottingham Forest,Crystal Palace,Betfair,2.26,Nottingham Forest,BetOnline.ag,3.36,25.99
Crystal Palace vs Nottingham Forest,Crystal Palace,Betfair,2.26,Nottingham Forest,Betclic,3.33,25.72
Crystal Palace vs Nottingham Forest,Crystal Palace,Marathon Bet,2.2,Nottingham Forest,Pinnacle,3.39,25.05
Crystal Palace vs Nottingham Forest,Crystal Palace,Marathon Bet,2.2,Nottingham Forest,1xBet,3.44,25.48
Crystal Palace vs Nottingham Forest,Crystal Palace,Marathon Bet,2.2,Nottingham Forest,Winamax (FR),3.3,24.24
Crystal Palace vs Nottingham Forest,Crystal Palace,Marathon Bet,2.2,Nottingham Forest,Winamax (DE),3.35,24.69
Crystal Palace vs Nottingham Forest,Crystal Palace,Marathon Bet,2.2,Nottingham Forest,MyBookie.ag,3.28,24.06
Crystal Palace vs Nottingham Forest,Crystal Palace,Marathon Bet,2.2,Nottingham Forest,Tipico,3.3,24.24
Crystal Palace vs Nottingham Forest,Crystal Palace,Marathon Bet,2.2,Nottingham Forest,Betfair,3.5,25.97
Crystal Palace vs Nottingham Forest,Crystal Palace,Marathon Bet,2.2,Nottingham Forest,Unibet,3.45,25.56
Crystal Palace vs Nottingham Forest,Crystal Palace,Marathon Bet,2.2,Nottingham Forest,Nordic Bet,3.25,23.78
Crystal Palace vs Nottingham Forest,Crystal Palace,Marathon Bet,2.2,Nottingham Forest,Betsson,3.35,24.69
Crystal Palace vs Nottingham Forest,Crystal Palace,Marathon Bet,2.2,Nottingham Forest,888sport,3.4,25.13
Crystal Palace vs Nottingham Forest,Crystal Palace,Marathon Bet,2.2,Nottingham Forest,William Hill,3.3,24.24
Crystal Palace vs Nottingham Forest,Crystal Palace,Marathon Bet,2.2,Nottingham Forest,Everygame,3.35,24.69
Crystal Palace vs Nottingham Forest,Crystal Palace,Marathon Bet,2.2,Nottingham Forest,Coolbet,3.57,26.53
Crystal Palace vs Nottingham Forest,Crystal Palace,Marathon Bet,2.2,Nottingham Forest,Parions Sport (FR),3.3,24.24
Crystal Palace vs Nottingham Forest,Crystal Palace,Marathon Bet,2.2,Nottingham Forest,Matchbook,3.5,25.97
Crystal Palace vs Nottingham Forest,Crystal Palace,Marathon Bet,2.2,Nottingham Forest,GTbets,3.38,24.96
Crystal Palace vs Nottingham Forest,Crystal Palace,Marathon Bet,2.2,Nottingham Forest,BetOnline.ag,3.36,24.78
Crystal Palace vs Nottingham Forest,Crystal Palace,Marathon Bet,2.2,Nottingham Forest,Betclic,3.33,24.52
Crystal Palace vs Nottingham Forest,Crystal Palace,Unibet,2.23,Nottingham Forest,Pinnacle,3.39,25.66
Crystal Palace vs Nottingham Forest,Crystal Palace,Unibet,2.23,Nottingham Forest,1xBet,3.44,26.09
Crystal Palace vs Nottingham Forest,Crystal Palace,Unibet,2.23,Nottingham Forest,Winamax (FR),3.3,24.85
Crystal Palace vs Nottingham Forest,Crystal Palace,Unibet,2.23,Nottingham Forest,Winamax (DE),3.35,25.31
Crystal Palace vs Nottingham Forest,Crystal Palace,Unibet,2.23,Nottingham Forest,MyBookie.ag,3.28,24.67
Crystal Palace vs Nottingham Forest,Crystal Palace,Unibet,2.23,Nottingham Forest,Tipico,3.3,24.85
Crystal Palace vs Nottingham Forest,Crystal Palace,Unibet,2.23,Nottingham Forest,Betfair,3.5,26.59
